location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Greenville, SC",South Carolina,0,?,'critical/other existing credit','new car',2134,0,1<=X<4,4,'male single',none,4,car,48,none,own,3,skilled,1,yes,YES,GOOD,?,5/27/1994,YES
"Greenwood, SC",South Carolina,-864.51,6,'existing paid',radio/tv,2647,742.31,1<=X<4,2,'male single',none,3,'real estate',44,none,rent,1,skilled,2,none,y,GOOD,?,5/28/1994,y
"Horry, SC",South Carolina,-5730.5,10,'critical/other existing credit','new car',2241,41.19,?,1,'male single',?,3,'real estate',48,none,rent,2,?,2,none,1,Bad,?,5/29/1994,1
"Jasper, SC",South Carolina,104.66,12,'critical/other existing credit','used car',1804,438.95,<1,3,'male single',none,4,?,44,none,own,1,skilled,1,?,1,Good,?,5/30/1994,1
"Lexington, SC",South Carolina,0,10,'critical/other existing credit',?,2069,0,1<=X<4,2,'male mar/wid',none,1,car,26,none,own,2,skilled,1,none,yes,B,?,May-31-1994,yes
"Orangeburg, SC",South Carolina,0,6,'existing paid',furniture/equipment,?,0,1<=X<4,1,'male single',none,?,'real estate',36,bank,own,1,'unskilled resident',1,yes,N,good,?,6/1/1994,n
"Richland, SC",South Carolina,0,6,'no credits/all paid',radio/tv,426,0,?,?,'male mar/wid',none,4,car,39,none,own,1,'unskilled resident',1,none,n,G,?,6/2/1994,N
"Richland, SC",South Carolina,2577.11,12,'all paid',radio/tv,409,2599.63,1<=X<4,3,'female div/dep/mar',none,?,'real estate',42,none,rent,2,?,?,none,n,G,?,6/3/1994,N
"Spartanburg, SC",South Carolina,184.53,7,'existing paid',radio/tv,2415,67.24,1<=X<4,?,'male single',guarantor,2,'real estate',34,none,own,?,?,1,none,N,G,?,6/4/1994,n
"Spartanburg, SC",South Carolina,-3479,60,'delayed previously',business,6836,26.85,>=7,?,'male single',none,4,'no known property',63,?,own,2,skilled,1,yes,Yes,Good,?,6/5/1994,YES
"Union, SC",South Carolina,0,18,'existing paid',business,1913,0,?,3,'male mar/wid',?,3,'real estate',36,bank,own,1,skilled,1,yes,no,G,?,6/6/1994,no
"Williamsburg, SC",South Carolina,-5072.05,24,'existing paid',furniture/equipment,4020,12.54,?,2,'male single',none,2,car,27,stores,own,1,skilled,1,none,1,Good,?,6/7/1994,1
"York, SC",South Carolina,65.97,18,'existing paid','new car',5866,265.12,1<=X<4,2,'male single',none,2,car,?,none,own,2,skilled,1,yes,n,B,?,6/8/1994,N
"Minnehaha, SD",South Dakota,0,12,'critical/other existing credit',business,1264,0,?,4,'male single',none,4,?,57,none,rent,1,'unskilled resident',1,?,y,bad,?,6/9/1994,y
"Hughes, SD",South Dakota,978.69,12,'existing paid',furniture/equipment,?,41.34,<1,4,'female div/dep/mar',none,1,'life insurance',33,bank,?,1,'high qualif/self emp/mgmt',1,?,YES,good,yes,6/10/1994,YES
"Bradley, TN",Tennessee,163,45,'critical/other existing credit',radio/tv,4746,0,<1,4,'male single',none,2,'life insurance',25,none,own,2,?,1,none,NO,GOOD,?,6/11/1994,NO
"Bradley, TN",Tennessee,0,48,'critical/other existing credit',education,6110,0,1<=X<4,1,'male single',none,3,'no known property',31,bank,'for free',1,skilled,1,?,y,GOOD,?,6/12/1994,y
"Davidson, TN",Tennessee,6976.08,18,'existing paid',radio/tv,2100,4.69,?,4,'male single','co applicant',2,'real estate',37,stores,own,1,skilled,1,none,yes,bad,?,6/13/1994,yes
"Fentress, TN",Tennessee,5588.7,10,'existing paid','domestic appliance',1225,0,1<=X<4,2,'male single',none,?,car,37,none,own,1,skilled,1,yes,YES,Good,?,6/14/1994,YES
"Hamilton, TN",Tennessee,47.76,9,'existing paid',radio/tv,458,0,1<=X<4,4,'male single',none,3,'real estate',24,none,own,?,skilled,1,none,N,good,?,6/15/1994,n
"Haywood, TN",Tennessee,0,30,'existing paid',radio/tv,2333,0,?,4,'male single',none,2,car,30,bank,own,?,'high qualif/self emp/mgmt',?,none,N,GOOD,?,6/16/1994,n
"Knox, TN",Tennessee,150.32,?,'existing paid',radio/tv,1158,0,1<=X<4,3,'male div/sep',none,1,car,26,none,own,?,skilled,1,yes,NO,bad,?,6/17/1994,NO
"McNairy, TN",Tennessee,158.94,18,'delayed previously',repairs,6204,24.41,1<=X<4,2,'male single',none,4,'real estate',44,none,own,1,'unskilled resident',2,?,yes,Good,?,6/18/1994,yes
"Madison, TN",Tennessee,-913.07,30,?,'used car',6187,224.1,4<=X<7,1,'male mar/wid',none,?,car,24,none,rent,2,skilled,1,none,Yes,B,?,6/19/1994,YES
"Robertson, TN",Tennessee,-8599.14,48,'critical/other existing credit','used car',6143,14.18,>=7,4,'female div/dep/mar',none,4,'no known property',58,stores,'for free',2,'unskilled resident',1,none,Yes,bad,?,6/20/1994,YES
"Sevier, TN",Tennessee,0,11,?,'new car',1393,0,<1,4,'female div/dep/mar',none,4,car,35,none,own,2,'high qualif/self emp/mgmt',1,none,n,G,?,6/21/1994,N
"Shelby, TN",Tennessee,0,36,?,radio/tv,?,0,>=7,4,'male single',none,4,car,39,none,own,1,skilled,1,none,1,good,?,6/22/1994,1
"Shelby, TN",Tennessee,-1631.58,6,'existing paid','used car',?,0,unemployed,1,'female div/dep/mar',none,2,?,23,none,rent,1,'unemp/unskilled non res',1,yes,y,Bad,?,6/23/1994,y
"Bastrop, TX",Texas,0,11,'critical/other existing credit','new car',7228,0,1<=X<4,1,'male single',none,4,'life insurance',39,none,?,2,'unskilled resident',1,none,N,good,?,6/24/1994,n
"Bell, TX",Texas,0,12,?,radio/tv,2073,0,?,4,'female div/dep/mar','co applicant',2,'real estate',28,none,own,1,skilled,?,none,No,good,?,6/25/1994,NO
"Bexar, TX",Texas,166.03,24,'delayed previously',furniture/equipment,2333,0,<1,4,'male single',none,2,?,29,bank,own,1,'unskilled resident',1,none,yes,good,?,6/26/1994,yes
"Bexar, TX",Texas,180.59,27,?,'used car',5965,42.7,>=7,1,'male single',none,2,car,30,none,own,?,'high qualif/self emp/mgmt',1,yes,No,bad,?,6/27/1994,NO
"Brown, TX",Texas,0,12,'existing paid',radio/tv,1262,0,1<=X<4,3,'male single',none,2,car,25,none,own,1,skilled,1,none,no,Good,?,6/28/1994,no
"Cass, TX",Texas,0,?,'existing paid','used car',3378,0,1<=X<4,2,'male single',none,1,?,31,none,own,1,skilled,?,yes,No,Good,?,6/29/1994,NO
"Collin, TX",Texas,127.36,36,'delayed previously','new car',2225,41.6,>=7,4,'male single',none,4,'no known property',57,bank,'for free',2,skilled,1,?,yes,good,?,6/30/1994,yes
"Dallas, TX",Texas,0,6,'all paid','new car',783,0,?,1,'male single',guarantor,2,'real estate',26,?,own,1,'unskilled resident',2,none,1,good,?,Jul-01-1994,1
"Dallas, TX",Texas,114.16,12,'existing paid',radio/tv,6468,0,unemployed,2,?,none,1,'no known property',52,none,own,1,'high qualif/self emp/mgmt',1,yes,NO,good,?,7/2/1994,NO
"Fort Worth, TX",Texas,0,36,'critical/other existing credit',radio/tv,9566,0,1<=X<4,2,'female div/dep/mar',?,2,car,31,?,own,2,?,1,none,no,Bad,?,7/3/1994,no
"Dallas, TX",Texas,3235.45,18,?,'new car',1961,65.36,?,3,'female div/dep/mar',none,2,car,23,none,own,1,'high qualif/self emp/mgmt',1,none,Y,Good,?,7/4/1994,Y
"Houston, TX",Texas,-9972.01,36,'critical/other existing credit',furniture/equipment,6229,35.8,<1,?,'female div/dep/mar','co applicant',4,'no known property',23,none,rent,2,'unskilled resident',1,?,yes,Good,?,7/5/1994,yes
"Denton, TX",Texas,75.44,9,'existing paid',business,1391,65.13,1<=X<4,2,'male mar/wid',?,1,'real estate',?,bank,own,1,skilled,1,yes,1,GOOD,?,7/6/1994,1
"El Paso, TX",Texas,158.6,15,'critical/other existing credit',radio/tv,1537,0,>=7,4,'male single',guarantor,4,'real estate',50,none,own,2,skilled,1,yes,Y,bad,?,7/7/1994,Y
"El Paso, TX",Texas,163.79,36,'no credits/all paid',business,1953,78.33,>=7,4,'male single',none,4,'no known property',61,none,'for free',1,'high qualif/self emp/mgmt',1,yes,N,GOOD,?,7/8/1994,n
"Galveston, TX",Texas,139.83,48,'no credits/all paid',business,14421,25.59,1<=X<4,2,'male single',none,2,car,25,none,own,1,skilled,?,yes,no,GOOD,?,7/9/1994,no
"Gregg, TX",Texas,0,?,'existing paid',radio/tv,3181,0,<1,?,'female div/dep/mar',none,?,'life insurance',26,none,own,1,skilled,?,yes,NO,GOOD,?,7/10/1994,NO
"Harris, TX",Texas,0,27,'existing paid',repairs,5190,0,>=7,4,'male single',none,4,'life insurance',48,none,own,4,skilled,2,yes,YES,Bad,?,7/11/1994,YES
"Harrison, TX",Texas,0,12,'existing paid',radio/tv,2171,0,?,2,'female div/dep/mar',?,2,car,29,bank,own,1,skilled,1,none,No,bad,?,7/12/1994,NO
"Hidalgo, TX",Texas,59.47,12,'existing paid','new car',1007,0,1<=X<4,4,'male mar/wid',?,1,'real estate',?,none,own,1,skilled,1,none,Y,bad,?,7/13/1994,Y
"Hidalgo, TX",Texas,0,36,'existing paid',?,1819,0,1<=X<4,4,'male single',none,4,'no known property',?,stores,'for free',?,?,1,yes,Y,Good,?,7/14/1994,Y
"Hopkins, TX",Texas,0,36,'existing paid',radio/tv,2394,0,1<=X<4,4,'female div/dep/mar',none,4,car,25,none,own,1,skilled,1,none,y,bad,?,7/15/1994,y
"Hunt, TX",Texas,0,?,'existing paid','used car',8133,0,?,?,'female div/dep/mar',none,2,'life insurance',30,?,own,1,skilled,1,?,n,Bad,?,7/16/1994,N
"Hunt, TX",Texas,0,7,'critical/other existing credit',radio/tv,730,0,>=7,4,'male single',none,2,'life insurance',?,none,rent,2,'unskilled resident',1,yes,NO,GOOD,?,7/17/1994,NO
"Jasper, TX",Texas,0,8,'critical/other existing credit',other,1164,0,>=7,3,'male single',none,?,'no known property',51,bank,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,Good,?,7/18/1994,yes
"Jefferson, TX",Texas,0,42,?,business,5954,0,4<=X<7,2,'female div/dep/mar',none,1,'real estate',41,bank,own,2,'unskilled resident',1,none,y,bad,?,7/19/1994,y
"McLennan, TX",Texas,-220.84,36,'existing paid',education,1977,0,>=7,4,'male single',none,4,'no known property',40,none,?,?,'high qualif/self emp/mgmt',1,yes,y,Bad,?,7/20/1994,y
"Medina, TX",Texas,-6131.59,12,'critical/other existing credit','used car',1526,53.54,>=7,4,'male single',none,4,'no known property',66,none,'for free',2,'high qualif/self emp/mgmt',1,none,NO,Good,?,7/21/1994,NO
"Midland, TX",Texas,0,42,'existing paid',?,?,0,<1,?,'male single',none,?,car,34,none,?,1,skilled,1,none,YES,B,?,7/22/1994,YES
"Montague, TX",Texas,160.21,11,'delayed previously',radio/tv,4771,0,4<=X<7,2,'male single',none,4,'life insurance',51,none,own,1,skilled,1,none,Y,Bad,?,7/23/1994,Y
"Nueces, TX",Texas,0,54,'no credits/all paid',?,9436,0,1<=X<4,2,'male single',none,2,'life insurance',39,none,own,1,'unskilled resident',?,none,Yes,Good,?,7/24/1994,YES
"Potter, TX",Texas,161.2,30,'existing paid',furniture/equipment,3832,8.69,<1,?,'male mar/wid',?,1,'life insurance',22,none,own,1,?,1,?,YES,Good,?,7/25/1994,YES
"Sabine, TX",Texas,0,24,'existing paid',radio/tv,?,0,<1,1,'female div/dep/mar',none,?,car,44,?,own,2,skilled,1,yes,n,good,?,7/26/1994,N
"Tarrant, TX",Texas,0,15,'existing paid',radio/tv,1213,0,?,4,'male single',none,3,'life insurance',47,stores,?,1,skilled,1,yes,y,Good,?,7/27/1994,y
"Tarrant, TX",Texas,0,18,'existing paid',business,?,0,1<=X<4,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,'unskilled resident',1,none,No,bad,?,7/28/1994,NO
"Taylor, TX",Texas,-5878.49,24,'existing paid',other,1755,98.16,>=7,?,'female div/dep/mar',guarantor,4,'real estate',58,none,own,1,?,1,?,Yes,Good,?,7/29/1994,YES
"Travis, TX",Texas,-1789.61,10,'existing paid',radio/tv,2315,32.77,>=7,3,'male single',?,4,'real estate',52,none,own,1,'unskilled resident',1,none,n,G,?,7/30/1994,N
"Wharton, TX",Texas,0,12,'critical/other existing credit',business,1412,0,1<=X<4,?,'female div/dep/mar',guarantor,2,'real estate',29,none,own,2,'high qualif/self emp/mgmt',1,?,Y,GOOD,?,7/31/1994,Y
"Williamson, TX",Texas,85.74,18,'critical/other existing credit',?,1295,0,?,4,'female div/dep/mar',none,1,?,27,none,own,2,skilled,1,none,Yes,G,?,8/1/1994,YES
"Williamson, TX",Texas,138.23,36,'existing paid',education,12612,438.24,?,?,'male single',none,4,'no known property',47,none,'for free',1,skilled,2,yes,N,good,?,8/2/1994,n
"Wood, TX",Texas,0,18,'existing paid','new car',2249,0,4<=X<7,4,'male single',none,3,?,30,none,own,1,'high qualif/self emp/mgmt',2,yes,no,good,?,8/3/1994,no
"Dallas, TX",Texas,-9244.18,12,'no credits/all paid',repairs,1108,5.74,4<=X<7,4,'male single',none,3,'real estate',28,none,own,2,skilled,1,none,No,Good,?,8/4/1994,NO
"Harris, TX",Texas,0,12,'critical/other existing credit',radio/tv,618,0,>=7,4,'male single',none,4,?,56,none,own,1,skilled,1,none,No,B,?,8/5/1994,NO
"Bexar, TX",Texas,-677.41,12,?,'used car',1409,1.66,>=7,4,'male single',none,3,'real estate',?,none,own,1,skilled,1,none,no,good,?,8/6/1994,no
"Salt Lake, UT",Utah,0,12,'critical/other existing credit',radio/tv,797,0,>=7,4,'female div/dep/mar',none,3,'life insurance',33,bank,own,1,'unskilled resident',2,none,Y,Good,?,8/7/1994,Y
"Salt Lake, UT",Utah,0,24,'critical/other existing credit',furniture/equipment,3617,0,>=7,4,'male single',?,4,'no known property',20,none,rent,2,skilled,1,none,Y,B,?,8/8/1994,Y
"Accomack, VA",Virginia,45.54,12,'existing paid','new car',1318,5987.51,>=7,4,'male single',none,4,'real estate',54,none,own,1,skilled,1,yes,no,B,?,8/9/1994,no
"Buckingham, VA",Virginia,163.33,54,'no credits/all paid',business,?,89.6,<1,3,'male single',none,4,'no known property',58,none,?,1,skilled,1,yes,Y,good,?,8/10/1994,Y
"Buckingham, VA",Virginia,0,12,'critical/other existing credit',education,2012,0,4<=X<7,4,'female div/dep/mar',none,2,car,61,none,own,1,skilled,1,none,N,good,?,8/11/1994,n
"Culpeper, VA",Virginia,4.36,18,'existing paid',business,2622,167.17,1<=X<4,4,'male single',none,4,car,34,none,own,1,skilled,1,none,YES,good,?,8/12/1994,YES
"Essex, VA",Virginia,0.83,36,'critical/other existing credit',radio/tv,?,36.75,>=7,4,'male single',none,4,'real estate',36,none,own,1,skilled,?,none,N,Good,?,8/13/1994,n
"Frederick, VA",Virginia,62.41,20,'delayed previously','used car',7057,0,4<=X<7,?,'male single',none,4,'life insurance',?,bank,rent,2,'high qualif/self emp/mgmt',2,yes,1,G,?,8/14/1994,1
"James City, VA",Virginia,0,24,'existing paid','new car',1469,0,>=7,4,'male mar/wid',none,?,'real estate',41,none,rent,1,'unskilled resident',1,none,1,Bad,?,8/15/1994,1
"Middlesex, VA",Virginia,194.24,36,'existing paid',radio/tv,2323,0,4<=X<7,4,'male single',none,4,car,24,none,rent,1,skilled,1,none,YES,bad,?,8/16/1994,YES
"Middlesex, VA",Virginia,0,6,?,radio/tv,932,0,1<=X<4,3,'female div/dep/mar',none,?,?,24,none,?,1,skilled,1,none,Yes,good,?,8/17/1994,YES
"Patrick, VA",Virginia,72.61,9,'critical/other existing credit',furniture/equipment,1919,0,4<=X<7,4,'male single',?,3,car,35,none,?,1,?,1,yes,Yes,G,?,8/18/1994,YES
"Pittsylvania, VA",Virginia,0,12,'existing paid','used car',2445,0,<1,2,'male mar/wid',none,4,car,26,none,rent,1,skilled,1,yes,n,GOOD,?,8/19/1994,N
"Prince William, VA",Virginia,150.24,?,'critical/other existing credit',other,11938,20.15,1<=X<4,2,'male single','co applicant',3,car,39,?,own,2,'high qualif/self emp/mgmt',2,yes,Y,bad,?,8/20/1994,Y
"Russell, VA",Virginia,0,18,'all paid','new car',6458,0,>=7,2,'male single',none,4,'no known property',39,bank,own,2,'high qualif/self emp/mgmt',?,yes,n,good,?,8/21/1994,N
"Tazewell, VA",Virginia,129.98,12,'existing paid','new car',6078,50.34,4<=X<7,2,'male single',none,2,car,-32,none,?,1,skilled,1,none,No,G,?,8/22/1994,NO
?,Virginia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8/23/1994,?
"Danville, VA",Virginia,-757.72,?,'existing paid',furniture/equipment,7721,0,<1,1,'female div/dep/mar',none,2,'life insurance',30,none,own,1,skilled,1,yes,NO,G,?,8/24/1994,NO
"Lynchburg, VA",Virginia,55.89,?,'existing paid',business,1410,549.75,>=7,1,'male mar/wid',?,2,'real estate',35,none,own,1,skilled,1,yes,y,GOOD,?,8/25/1994,y
"Newport News, VA",Virginia,80.35,6,'delayed previously',?,1449,265.76,>=7,1,?,none,2,car,31,bank,own,2,skilled,?,none,No,Good,?,8/26/1994,NO
"Norfolk, VA",Virginia,0,?,'existing paid',education,392,0,<1,?,'female div/dep/mar',none,?,'life insurance',23,none,?,1,skilled,1,yes,YES,G,?,8/27/1994,YES
"Norfolk, VA",Virginia,80.71,18,'existing paid','new car',6260,68.22,4<=X<7,?,'male single',none,3,?,28,none,rent,1,'unskilled resident',1,none,n,Bad,?,8/28/1994,N
"Portsmouth, VA",Virginia,0,36,'critical/other existing credit','new car',7855,0,1<=X<4,4,'female div/dep/mar',none,2,'real estate',25,stores,own,?,skilled,1,yes,Y,Good,?,8/29/1994,Y
"Richmond, VA",Virginia,0,12,'existing paid',radio/tv,?,0,>=7,3,'male mar/wid',none,1,'real estate',35,none,own,1,skilled,1,none,NO,Bad,?,8/30/1994,NO
"Virginia Beach, VA",Virginia,0,48,?,radio/tv,?,0,>=7,4,'male single',none,1,'real estate',47,none,own,1,skilled,1,yes,n,GOOD,?,8/31/1994,N
"Orleans, VT",Vermont,-7890.14,?,'existing paid',radio/tv,7174,0,4<=X<7,4,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,N,GOOD,?,9/1/1994,n
"Orleans, VT",Vermont,-308.12,10,'critical/other existing credit',furniture/equipment,2132,0,?,2,'female div/dep/mar','co applicant',3,'real estate',?,none,rent,2,skilled,1,?,no,G,?,9/2/1994,no
"Asotin, WA",Washington,-6207.62,33,'critical/other existing credit',furniture/equipment,4281,777.08,?,1,'female div/dep/mar',none,4,car,23,none,own,2,skilled,1,?,N,Good,?,9/3/1994,n
"Benton, WA",Washington,180.83,12,?,'new car',2366,804.96,4<=X<7,3,'male div/sep',none,3,car,36,none,own,1,'high qualif/self emp/mgmt',1,yes,1,GOOD,?,9/4/1994,1
"Clark, WA",Washington,-4317.01,21,'existing paid',radio/tv,1835,6.23,1<=X<4,3,'female div/dep/mar',none,2,'real estate',25,none,own,2,skilled,1,yes,Y,G,?,9/5/1994,Y
"Franklin, WA",Washington,0,24,'critical/other existing credit','used car',?,0,?,4,?,none,?,car,41,none,rent,2,'high qualif/self emp/mgmt',?,yes,n,GOOD,?,9/6/1994,N
"King, WA",Washington,0,?,?,furniture/equipment,1768,0,1<=X<4,?,'male single',none,2,'real estate',24,none,rent,?,'unskilled resident',?,none,Yes,bad,?,9/7/1994,YES
"King, WA",Washington,4115.41,10,'critical/other existing credit','new car',781,68.49,?,?,'male single',?,4,'no known property',63,none,'for free',2,skilled,1,yes,Y,good,?,9/8/1994,Y
"King, WA",Washington,69.75,18,'existing paid',furniture/equipment,1924,0,?,4,'female div/dep/mar',none,3,'real estate',?,?,rent,1,?,1,none,no,good,?,9/9/1994,no
"Kitsap, WA",Washington,-8633.29,12,'critical/other existing credit','new car',2121,28.28,1<=X<4,4,'male single',?,2,'life insurance',30,none,own,2,skilled,1,none,1,B,?,9/10/1994,1
"Pierce, WA",Washington,-7111.18,12,?,radio/tv,?,1.11,1<=X<4,4,'male mar/wid',none,2,'real estate',40,none,own,1,'unskilled resident',1,none,Y,G,?,9/11/1994,Y
"Skagit, WA",Washington,150.56,12,'existing paid',repairs,?,33.47,1<=X<4,?,'male single',none,2,car,30,none,own,1,skilled,1,none,n,Bad,?,9/12/1994,N
"Snohomish, WA",Washington,163.65,12,'critical/other existing credit','used car',1860,21.86,unemployed,4,'male single',?,2,car,34,none,own,2,'high qualif/self emp/mgmt',1,yes,y,bad,?,9/13/1994,y
"Spokane, WA",Washington,-9688.11,12,'critical/other existing credit','new car',?,0,1<=X<4,3,'female div/dep/mar','co applicant',2,'real estate',29,none,own,2,?,1,none,yes,G,?,9/14/1994,yes
"Spokane, WA",Washington,161.19,48,'existing paid','new car',8487,0,4<=X<7,1,'female div/dep/mar',none,2,car,24,none,own,1,skilled,1,none,No,B,?,9/15/1994,NO
"Spokane, WA",Washington,-4083,36,'delayed previously',education,6887,11.36,1<=X<4,4,'male single',none,3,'life insurance',29,stores,own,1,skilled,1,yes,1,B,?,9/16/1994,1
"Stevens, WA",Washington,0,15,'existing paid',furniture/equipment,?,0,<1,2,'male single',none,3,'life insurance',27,bank,own,2,'unskilled resident',1,none,no,good,?,9/17/1994,no
"Whatcom, WA",Washington,0,?,'existing paid',furniture/equipment,1984,0,1<=X<4,4,'male single',none,4,'no known property',47,bank,'for free',2,skilled,1,none,YES,B,?,9/18/1994,YES
"Yakima, WA",Washington,0,?,'existing paid',radio/tv,?,0,4<=X<7,2,'female div/dep/mar',none,?,'real estate',21,none,own,1,skilled,1,?,Y,Bad,?,9/19/1994,Y
"Chippewa, WI",Wisconsin,0,12,'critical/other existing credit',?,1240,0,>=7,4,'female div/dep/mar',none,2,?,38,none,own,2,skilled,1,yes,YES,B,?,9/20/1994,YES
"Dunn, WI",Wisconsin,0,27,'delayed previously','used car',8613,0,1<=X<4,2,'male single',none,2,car,27,none,own,2,skilled,1,none,NO,bad,?,9/21/1994,NO
"Kenosha, WI",Wisconsin,0,?,?,radio/tv,766,0,1<=X<4,4,'male single',?,3,'real estate',?,none,own,1,'unskilled resident',1,none,N,Good,?,9/22/1994,n
"Racine, WI",Wisconsin,51.64,15,'critical/other existing credit',radio/tv,2728,0,4<=X<7,4,'male single',guarantor,2,'real estate',35,bank,own,3,skilled,1,yes,Y,good,?,9/23/1994,Y
"Rock, WI",Wisconsin,0,12,'existing paid',radio/tv,1881,0,?,2,'female div/dep/mar',none,2,car,44,none,rent,1,'unskilled resident',1,yes,NO,Bad,?,9/24/1994,NO
"Milwaukee, WI",Wisconsin,8525.7,6,'existing paid','new car',709,7265.64,<1,2,'male mar/wid',none,2,'real estate',27,none,own,1,'unemp/unskilled non res',1,none,YES,good,?,9/25/1994,YES
"Fayette, WV",West Virginia,3.49,36,'existing paid',radio/tv,?,57.17,<1,4,'female div/dep/mar',none,1,'no known property',?,none,own,1,'high qualif/self emp/mgmt',1,yes,NO,bad,?,9/26/1994,NO
"Kanawha, WV",West Virginia,-4570.85,?,'existing paid',?,3416,15.64,1<=X<4,?,'male single',?,2,car,27,none,own,1,'high qualif/self emp/mgmt',1,?,YES,Bad,?,9/27/1994,YES
"Kanawha, WV",West Virginia,-6400.81,?,'existing paid',furniture/equipment,2462,74.69,1<=X<4,2,'male single',none,2,?,?,none,own,1,?,1,none,N,good,?,9/28/1994,n
"Raleigh, WV",West Virginia,0,21,'critical/other existing credit',furniture/equipment,2288,0,<1,4,'female div/dep/mar',none,4,'life insurance',23,none,own,1,skilled,1,yes,n,Good,?,9/29/1994,N
