state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,total,proportion,gender,class
South Carolina,4,4,Good,used car,4,0,4,4,female div/dep/mar,none,2,no known property,2,none,for free,-1,high qualif/self emp/mgmt,1,yes,YES,5,2,female,BAD
South Carolina,2,4,Moderate,radio/tv,7,0,4,3,male single,unknown,2,car,2,none,own,1,skilled,1,yes,YES,7,1,male,BAD
South Carolina,2,2,Bad,new car,4,0,2,4,male single,none,4,car,3,none,own,3,skilled,1,yes,YES,4,1,male,GOOD
South Carolina,2,0,Good,radio/tv,6,1,2,2,male single,none,3,real estate,3,none,rent,1,skilled,2,none,YES,6,1,male,GOOD
South Carolina,1,1,Bad,new car,4,0,0,1,male single,unknown,3,real estate,3,none,rent,2,unknown,2,none,YES,0,0,male,BAD
South Carolina,5,1,Bad,used car,3,1,1,3,male single,none,4,no known property,3,none,own,1,skilled,1,unknown,YES,5,2,male,GOOD
South Carolina,2,1,Bad,other,3,0,2,2,male mar/wid,none,1,car,2,none,own,2,skilled,1,none,YES,4,1,male,BAD
South Carolina,2,0,Good,furniture/equipment,4,0,2,1,male single,none,-1,real estate,2,bank,own,1,unskilled resident,1,yes,NO,5,1,male,GOOD
South Carolina,2,0,Moderate,radio/tv,0,0,0,-1,male mar/wid,none,4,car,2,none,own,1,unskilled resident,1,none,NO,1,1,male,GOOD
South Carolina,6,1,Good,radio/tv,0,1,2,3,female div/dep/mar,none,-1,real estate,3,none,rent,2,unknown,1,none,NO,8,3,female,GOOD
South Carolina,6,0,Good,radio/tv,5,0,2,-1,male single,guarantor,2,real estate,2,none,own,-1,unknown,1,none,NO,6,2,male,GOOD
South Carolina,1,7,Moderate,business,9,0,4,-1,male single,none,4,no known property,3,unknown,own,2,skilled,1,yes,YES,7,1,male,GOOD
South Carolina,2,2,Good,business,3,0,0,3,male mar/wid,unknown,3,real estate,2,bank,own,1,skilled,1,yes,NO,4,1,male,GOOD
South Carolina,1,4,Good,furniture/equipment,7,0,0,2,male single,none,2,car,2,stores,own,1,skilled,1,none,YES,1,1,male,GOOD
South Carolina,4,2,Good,new car,8,1,2,2,male single,none,2,car,2,none,own,2,skilled,1,yes,NO,8,2,male,BAD
South Dakota,2,1,Bad,business,1,0,0,4,male single,none,4,no known property,3,none,rent,1,unskilled resident,1,unknown,YES,3,1,male,BAD
South Dakota,6,1,Good,furniture/equipment,4,0,1,4,female div/dep/mar,none,1,life insurance,2,bank,unknown,1,high qualif/self emp/mgmt,1,unknown,YES,6,2,female,GOOD
Tennessee,5,7,Bad,radio/tv,8,0,1,4,male single,none,2,life insurance,1,none,own,2,unknown,1,none,NO,8,2,male,GOOD
Tennessee,2,7,Bad,education,8,0,2,1,male single,none,3,no known property,2,bank,for free,1,skilled,1,unknown,YES,8,1,male,GOOD
Tennessee,6,2,Good,radio/tv,3,0,0,4,male single,co applicant,2,real estate,2,stores,own,1,skilled,1,none,YES,9,3,male,BAD
Tennessee,6,1,Good,domestic appliance,1,0,2,2,male single,none,-1,car,2,none,own,1,skilled,1,yes,YES,8,3,male,GOOD
Tennessee,4,0,Good,radio/tv,0,0,2,4,male single,none,3,real estate,1,none,own,-1,skilled,1,none,NO,1,2,male,GOOD
Tennessee,2,6,Good,radio/tv,5,0,0,4,male single,none,2,car,2,bank,own,-1,high qualif/self emp/mgmt,1,none,NO,5,1,male,GOOD
Tennessee,5,2,Good,radio/tv,1,0,2,3,male div/sep,none,1,car,2,none,own,-1,skilled,1,yes,NO,3,2,male,BAD
Tennessee,5,2,Moderate,repairs,8,0,2,2,male single,none,4,real estate,3,none,own,1,unskilled resident,2,unknown,YES,8,2,male,GOOD
Tennessee,2,6,Moderate,used car,8,1,3,1,male mar/wid,none,-1,car,1,none,rent,2,skilled,1,none,YES,8,1,male,BAD
Tennessee,0,7,Bad,used car,8,0,4,4,female div/dep/mar,none,4,no known property,3,stores,for free,2,unskilled resident,1,none,YES,1,1,female,BAD
Tennessee,2,1,Moderate,new car,2,0,1,4,female div/dep/mar,none,4,car,2,none,own,2,high qualif/self emp/mgmt,1,none,NO,3,1,female,GOOD
Tennessee,2,6,Moderate,radio/tv,4,0,4,4,male single,none,4,car,2,none,own,1,skilled,1,none,YES,5,1,male,GOOD
Tennessee,2,0,Good,used car,4,0,0,1,female div/dep/mar,none,2,no known property,1,none,rent,1,unemp/unskilled non res,1,yes,YES,2,1,female,BAD
Texas,2,1,Bad,new car,9,0,2,1,male single,none,4,life insurance,2,none,unknown,2,unskilled resident,1,none,NO,8,1,male,GOOD
Texas,2,1,Moderate,radio/tv,3,0,0,4,female div/dep/mar,co applicant,2,real estate,2,none,own,1,skilled,1,none,NO,4,1,female,GOOD
Texas,6,4,Moderate,furniture/equipment,5,0,1,4,male single,none,2,no known property,2,bank,own,1,unskilled resident,1,none,YES,5,2,male,GOOD
Texas,6,5,Moderate,used car,8,0,4,1,male single,none,2,car,2,none,own,-1,high qualif/self emp/mgmt,1,yes,NO,8,2,male,BAD
Texas,2,1,Good,radio/tv,1,0,2,3,male single,none,2,car,1,none,own,1,skilled,1,none,NO,3,1,male,GOOD
Texas,2,2,Good,used car,7,0,2,2,male single,none,1,no known property,2,none,own,1,skilled,1,yes,NO,7,1,male,GOOD
Texas,5,6,Moderate,new car,4,0,4,4,male single,none,4,no known property,3,bank,for free,2,skilled,1,unknown,YES,5,2,male,GOOD
Texas,2,0,Good,new car,0,0,0,1,male single,guarantor,2,real estate,2,unknown,own,1,unskilled resident,2,none,YES,2,1,male,GOOD
Texas,5,1,Good,radio/tv,8,0,0,2,unknown,none,1,no known property,3,none,own,1,high qualif/self emp/mgmt,1,yes,NO,8,2,unknown,GOOD
Texas,2,6,Bad,radio/tv,9,0,2,2,female div/dep/mar,unknown,2,car,2,unknown,own,2,unknown,1,none,NO,9,1,female,BAD
Texas,6,2,Moderate,new car,3,0,0,3,female div/dep/mar,none,2,car,1,none,own,1,high qualif/self emp/mgmt,1,none,YES,8,2,female,GOOD
Texas,0,6,Bad,furniture/equipment,8,0,1,-1,female div/dep/mar,co applicant,4,no known property,1,none,rent,2,unskilled resident,1,unknown,YES,0,1,female,GOOD
Texas,5,0,Good,business,2,0,2,2,male mar/wid,unknown,1,real estate,2,bank,own,1,skilled,1,yes,YES,3,2,male,GOOD
Texas,5,2,Bad,radio/tv,2,0,4,4,male single,guarantor,4,real estate,3,none,own,2,skilled,1,yes,YES,4,2,male,BAD
Texas,6,6,Moderate,business,3,0,4,4,male single,none,4,no known property,3,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,4,2,male,GOOD
Texas,5,7,Moderate,business,9,0,2,2,male single,none,2,car,1,none,own,1,skilled,1,yes,NO,9,2,male,GOOD
Texas,2,2,Good,radio/tv,6,0,1,-1,female div/dep/mar,none,-1,life insurance,2,none,own,1,skilled,1,yes,NO,6,1,female,GOOD
Texas,2,5,Good,repairs,8,0,4,4,male single,none,4,life insurance,3,none,own,4,skilled,2,yes,YES,8,1,male,BAD
Texas,2,1,Good,radio/tv,4,0,0,2,female div/dep/mar,unknown,2,car,2,bank,own,1,skilled,1,none,NO,4,1,female,BAD
Texas,4,1,Good,new car,1,0,2,4,male mar/wid,unknown,1,real estate,2,none,own,1,skilled,1,none,YES,2,2,male,BAD
Texas,2,6,Good,other,3,0,2,4,male single,none,4,no known property,2,stores,for free,-1,unknown,1,yes,YES,4,1,male,GOOD
Texas,2,6,Good,radio/tv,5,0,2,4,female div/dep/mar,none,4,car,1,none,own,1,skilled,1,none,YES,5,1,female,BAD
Texas,2,2,Good,used car,9,0,0,-1,female div/dep/mar,none,2,life insurance,2,unknown,own,1,skilled,1,unknown,NO,9,1,female,BAD
Texas,2,0,Bad,radio/tv,0,0,4,4,male single,none,2,life insurance,2,none,rent,2,unskilled resident,1,yes,NO,2,1,male,GOOD
Texas,2,0,Bad,other,1,0,4,3,male single,none,-1,no known property,3,bank,for free,2,high qualif/self emp/mgmt,2,yes,YES,2,1,male,GOOD
Texas,2,7,Moderate,business,8,0,3,2,female div/dep/mar,none,1,real estate,3,bank,own,2,unskilled resident,1,none,YES,8,1,female,BAD
Texas,2,6,Good,education,3,0,4,4,male single,none,4,no known property,2,none,unknown,-1,high qualif/self emp/mgmt,1,yes,YES,4,1,male,BAD
Texas,0,1,Bad,used car,2,0,4,4,male single,none,4,no known property,4,none,for free,2,high qualif/self emp/mgmt,1,none,NO,0,0,male,GOOD
Texas,2,7,Good,other,4,0,1,-1,male single,none,-1,car,2,none,unknown,1,skilled,1,none,YES,5,1,male,BAD
Texas,5,1,Moderate,radio/tv,8,0,3,2,male single,none,4,life insurance,3,none,own,1,skilled,1,none,YES,8,2,male,BAD
Texas,2,7,Moderate,other,9,0,2,2,male single,none,2,life insurance,2,none,own,1,unskilled resident,1,none,YES,9,1,male,GOOD
Texas,5,6,Good,furniture/equipment,7,0,1,-1,male mar/wid,unknown,1,life insurance,1,none,own,1,unknown,1,unknown,YES,7,2,male,GOOD
Texas,2,4,Good,radio/tv,4,0,1,1,female div/dep/mar,none,-1,car,3,unknown,own,2,skilled,1,yes,NO,5,1,female,GOOD
Texas,2,2,Good,radio/tv,1,0,0,4,male single,none,3,life insurance,3,stores,unknown,1,skilled,1,yes,YES,2,1,male,GOOD
Texas,2,2,Good,business,4,0,2,3,female div/dep/mar,none,4,life insurance,1,none,rent,1,unskilled resident,1,none,NO,5,1,female,BAD
Texas,0,4,Good,other,3,0,4,-1,female div/dep/mar,guarantor,4,real estate,3,none,own,1,unknown,1,unknown,YES,0,0,female,GOOD
Texas,1,1,Good,radio/tv,4,0,4,3,male single,unknown,4,real estate,3,none,own,1,unskilled resident,1,none,NO,1,1,male,GOOD
Texas,2,1,Bad,business,2,0,2,-1,female div/dep/mar,guarantor,2,real estate,2,none,own,2,high qualif/self emp/mgmt,1,unknown,YES,3,1,female,GOOD
Texas,5,2,Bad,other,1,0,0,4,female div/dep/mar,none,1,no known property,2,none,own,2,skilled,1,none,YES,3,2,female,GOOD
Texas,5,6,Good,education,9,1,0,-1,male single,none,4,no known property,3,none,for free,1,skilled,2,yes,NO,9,2,male,GOOD
Texas,2,2,Good,new car,4,0,3,4,male single,none,3,no known property,2,none,own,1,high qualif/self emp/mgmt,2,yes,NO,4,1,male,GOOD
Texas,0,1,Moderate,repairs,1,0,3,4,male single,none,3,real estate,2,none,own,2,skilled,1,none,NO,0,0,male,GOOD
Texas,2,1,Bad,radio/tv,0,0,4,4,male single,none,4,no known property,3,none,own,1,skilled,1,none,NO,1,1,male,BAD
Texas,2,1,Moderate,used car,2,0,4,4,male single,none,3,real estate,2,none,own,1,skilled,1,none,NO,2,1,male,GOOD
Utah,2,1,Bad,radio/tv,0,0,4,4,female div/dep/mar,none,3,life insurance,2,bank,own,1,unskilled resident,2,none,YES,2,1,female,GOOD
Utah,2,4,Bad,furniture/equipment,7,0,4,4,male single,unknown,4,no known property,1,none,rent,2,skilled,1,none,YES,7,1,male,BAD
Virginia,4,1,Good,new car,2,1,4,4,male single,none,4,real estate,3,none,own,1,skilled,1,yes,NO,8,3,male,BAD
Virginia,6,7,Moderate,business,4,0,1,3,male single,none,4,no known property,3,none,unknown,1,skilled,1,yes,YES,6,2,male,GOOD
Virginia,2,1,Bad,education,3,0,3,4,female div/dep/mar,none,2,car,3,none,own,1,skilled,1,none,NO,4,1,female,GOOD
Virginia,4,2,Good,business,6,1,2,4,male single,none,4,car,2,none,own,1,skilled,1,none,YES,6,2,male,GOOD
Virginia,3,6,Bad,radio/tv,4,0,4,4,male single,none,4,real estate,2,none,own,1,skilled,1,none,NO,5,2,male,GOOD
Virginia,4,3,Moderate,used car,9,0,3,-1,male single,none,4,life insurance,2,bank,rent,2,high qualif/self emp/mgmt,2,yes,YES,8,2,male,GOOD
Virginia,2,4,Good,new car,2,0,4,4,male mar/wid,none,-1,real estate,3,none,rent,1,unskilled resident,1,none,YES,3,1,male,BAD
Virginia,6,6,Good,radio/tv,5,0,3,4,male single,none,4,car,1,none,rent,1,skilled,1,none,YES,6,2,male,BAD
Virginia,2,0,Moderate,radio/tv,0,0,2,3,female div/dep/mar,none,-1,no known property,1,none,unknown,1,skilled,1,none,YES,2,1,female,GOOD
Virginia,4,0,Bad,furniture/equipment,3,0,3,4,male single,unknown,3,car,2,none,unknown,1,unknown,1,yes,YES,4,2,male,GOOD
Virginia,2,1,Good,used car,5,0,1,2,male mar/wid,none,4,car,2,none,rent,1,skilled,1,yes,NO,5,1,male,GOOD
Virginia,5,2,Bad,other,9,0,2,2,male single,co applicant,3,car,2,unknown,own,2,high qualif/self emp/mgmt,2,yes,YES,9,2,male,BAD
Virginia,2,2,Good,new car,8,0,4,2,male single,none,4,no known property,2,bank,own,2,high qualif/self emp/mgmt,1,yes,NO,8,1,male,GOOD
Virginia,2,2,Good,furniture/equipment,9,0,1,1,female div/dep/mar,none,2,life insurance,2,none,own,1,skilled,1,yes,NO,8,1,female,GOOD
Virginia,4,2,Good,business,2,1,4,1,male mar/wid,unknown,2,real estate,2,none,own,1,skilled,1,yes,YES,4,2,male,GOOD
Virginia,5,0,Moderate,other,2,1,4,1,unknown,none,2,car,2,bank,own,2,skilled,1,none,NO,4,2,unknown,GOOD
Virginia,2,2,Good,education,0,0,1,-1,female div/dep/mar,none,-1,life insurance,1,none,unknown,1,skilled,1,yes,YES,1,1,female,GOOD
Virginia,5,2,Good,new car,8,0,3,-1,male single,none,3,no known property,2,none,rent,1,unskilled resident,1,none,NO,8,2,male,BAD
Virginia,2,6,Bad,new car,9,0,2,4,female div/dep/mar,none,2,real estate,1,stores,own,-1,skilled,1,yes,YES,9,1,female,GOOD
Virginia,2,1,Good,radio/tv,4,0,4,3,male mar/wid,none,1,real estate,2,none,own,1,skilled,1,none,NO,5,1,male,BAD
Virginia,2,7,Moderate,radio/tv,4,0,4,4,male single,none,1,real estate,3,none,own,1,skilled,1,yes,NO,5,1,male,GOOD
Vermont,0,2,Good,radio/tv,9,0,3,4,female div/dep/mar,none,3,car,2,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1,1,female,GOOD
Vermont,2,1,Bad,furniture/equipment,4,0,0,2,female div/dep/mar,co applicant,3,real estate,2,none,rent,2,skilled,1,unknown,NO,4,1,female,GOOD
Washington,0,6,Bad,furniture/equipment,8,1,0,1,female div/dep/mar,none,4,car,1,none,own,2,skilled,1,unknown,NO,1,1,female,GOOD
Washington,6,1,Moderate,new car,5,1,3,3,male div/sep,none,3,car,2,none,own,1,high qualif/self emp/mgmt,1,yes,YES,7,2,male,GOOD
Washington,1,4,Good,radio/tv,3,0,2,3,female div/dep/mar,none,2,real estate,1,none,own,2,skilled,1,yes,YES,1,0,female,GOOD
Washington,2,4,Bad,used car,4,0,0,4,unknown,none,-1,car,3,none,rent,2,high qualif/self emp/mgmt,1,yes,NO,5,1,unknown,GOOD
Washington,2,2,Moderate,furniture/equipment,3,0,2,-1,male single,none,2,real estate,1,none,rent,-1,unskilled resident,1,none,YES,4,1,male,BAD
Washington,6,1,Bad,new car,0,0,0,-1,male single,unknown,4,no known property,3,none,for free,2,skilled,1,yes,YES,8,3,male,GOOD
Washington,4,2,Good,furniture/equipment,3,0,0,4,female div/dep/mar,none,3,real estate,2,unknown,rent,1,unknown,1,none,NO,4,2,female,GOOD
Washington,0,1,Bad,new car,4,0,2,4,male single,unknown,2,life insurance,2,none,own,2,skilled,1,none,YES,0,0,male,BAD
Washington,0,1,Moderate,radio/tv,4,0,2,4,male mar/wid,none,2,real estate,2,none,own,1,unskilled resident,1,none,YES,0,0,male,GOOD
Washington,5,1,Good,repairs,4,0,2,-1,male single,none,2,car,2,none,own,1,skilled,1,none,NO,5,2,male,BAD
Washington,6,1,Bad,used car,3,0,0,4,male single,unknown,2,car,2,none,own,2,high qualif/self emp/mgmt,1,yes,YES,4,2,male,BAD
Washington,0,1,Bad,new car,4,0,2,3,female div/dep/mar,co applicant,2,real estate,2,none,own,2,unknown,1,none,YES,0,0,female,GOOD
Washington,5,7,Good,new car,9,0,3,1,female div/dep/mar,none,2,car,1,none,own,1,skilled,1,none,NO,9,2,female,BAD
Washington,1,6,Moderate,education,9,0,2,4,male single,none,3,life insurance,2,stores,own,1,skilled,1,yes,YES,6,1,male,BAD
Washington,2,2,Good,furniture/equipment,4,0,1,2,male single,none,3,life insurance,2,bank,own,2,unskilled resident,1,none,NO,5,1,male,GOOD
Washington,2,2,Good,furniture/equipment,3,0,2,4,male single,none,4,no known property,3,bank,for free,2,skilled,1,none,YES,4,1,male,BAD
Washington,2,2,Good,radio/tv,4,0,3,2,female div/dep/mar,none,-1,real estate,1,none,own,1,skilled,1,unknown,YES,5,1,female,BAD
Wisconsin,2,1,Bad,other,1,0,4,4,female div/dep/mar,none,2,no known property,2,none,own,2,skilled,1,yes,YES,2,1,female,BAD
Wisconsin,2,5,Moderate,used car,9,0,2,2,male single,none,2,car,2,none,own,2,skilled,1,none,NO,9,1,male,BAD
Wisconsin,2,2,Moderate,radio/tv,0,0,2,4,male single,unknown,3,real estate,2,none,own,1,unskilled resident,1,none,NO,2,1,male,GOOD
Wisconsin,4,2,Bad,radio/tv,6,0,3,4,male single,guarantor,2,real estate,2,bank,own,3,skilled,1,yes,YES,6,2,male,GOOD
Wisconsin,2,1,Good,radio/tv,3,0,0,2,female div/dep/mar,none,2,car,3,none,rent,1,unskilled resident,1,yes,NO,4,1,female,BAD
Wisconsin,6,0,Good,new car,0,1,1,2,male mar/wid,none,2,real estate,2,none,own,1,unemp/unskilled non res,1,none,YES,9,3,male,GOOD
West Virginia,4,6,Good,radio/tv,4,0,1,4,female div/dep/mar,none,1,no known property,2,none,own,1,high qualif/self emp/mgmt,1,yes,NO,5,2,female,BAD
West Virginia,1,2,Good,other,7,0,2,-1,male single,unknown,2,car,2,none,own,1,high qualif/self emp/mgmt,1,unknown,YES,1,1,male,BAD
West Virginia,0,2,Good,furniture/equipment,5,0,2,2,male single,none,2,no known property,2,none,own,1,unknown,1,none,NO,0,0,male,GOOD
West Virginia,2,4,Bad,furniture/equipment,4,0,1,4,female div/dep/mar,none,4,life insurance,1,none,own,1,skilled,1,yes,NO,5,1,female,GOOD
West Virginia,4,7,Good,other,7,1,3,-1,male single,none,2,car,2,none,unknown,1,skilled,1,none,YES,7,2,male,BAD
Wyoming,0,0,Bad,new car,0,0,4,1,female div/dep/mar,unknown,4,no known property,2,none,own,2,unknown,1,yes,YES,0,0,female,GOOD
Alaska,2,1,Bad,new car,0,0,3,4,female div/dep/mar,none,3,car,3,none,own,2,skilled,1,yes,NO,2,1,female,GOOD
Arkansas,2,6,Bad,furniture/equipment,8,0,2,3,male single,unknown,2,life insurance,2,none,own,2,skilled,1,unknown,NO,8,1,male,GOOD
Arizona,2,2,Moderate,radio/tv,3,0,4,4,unknown,none,4,car,3,none,own,-1,skilled,1,unknown,YES,3,1,unknown,BAD
Arizona,2,0,Good,other,2,0,4,2,male single,unknown,4,no known property,3,bank,unknown,1,skilled,2,yes,NO,3,1,male,GOOD
Arizona,2,2,Good,radio/tv,3,0,2,1,male single,none,4,life insurance,2,none,own,1,skilled,1,yes,NO,4,1,male,BAD
California,2,6,Good,radio/tv,8,0,2,4,male single,none,1,car,1,none,own,1,skilled,1,unknown,NO,8,1,male,BAD
California,5,4,Bad,used car,9,1,4,2,female div/dep/mar,unknown,4,no known property,2,none,rent,1,skilled,1,none,YES,9,2,female,BAD
California,6,4,Moderate,business,9,1,3,4,male single,none,4,car,2,none,rent,1,high qualif/self emp/mgmt,1,unknown,YES,9,2,male,BAD
California,1,1,Good,furniture/equipment,1,0,2,2,female div/dep/mar,none,4,no known property,1,none,rent,1,skilled,1,none,NO,0,0,female,GOOD
California,1,0,Bad,repairs,4,1,4,3,male single,guarantor,4,real estate,3,none,own,2,skilled,2,none,YES,1,1,male,BAD
California,0,1,Good,retraining,0,0,0,4,male mar/wid,none,1,car,3,bank,own,1,unskilled resident,1,none,NO,0,0,male,GOOD
California,5,2,Good,new car,7,1,3,2,unknown,none,3,car,2,bank,own,2,skilled,1,yes,NO,7,2,unknown,GOOD
California,2,0,Bad,radio/tv,3,0,2,1,male single,none,2,real estate,2,none,own,2,unskilled resident,1,none,NO,4,1,male,GOOD
California,2,4,Moderate,radio/tv,6,0,4,-1,unknown,unknown,-1,real estate,2,none,own,1,skilled,2,unknown,NO,6,1,unknown,GOOD
California,2,2,Bad,new car,1,0,1,4,female div/dep/mar,none,1,life insurance,2,none,own,2,skilled,1,unknown,NO,2,1,female,GOOD
California,2,2,Good,domestic appliance,1,0,3,4,male single,none,3,life insurance,2,none,own,2,skilled,1,yes,NO,3,1,male,GOOD
California,4,1,Good,new car,9,0,0,2,male single,none,4,no known property,4,bank,for free,1,high qualif/self emp/mgmt,1,yes,NO,8,2,male,BAD
California,2,6,Good,new car,0,0,4,4,unknown,none,4,life insurance,2,none,own,1,skilled,1,unknown,NO,2,1,unknown,GOOD
California,2,0,Good,furniture/equipment,6,0,2,1,male single,none,2,car,2,none,own,1,skilled,1,yes,NO,6,1,male,BAD
California,1,2,Good,furniture/equipment,1,0,0,4,female div/dep/mar,none,-1,car,2,none,own,1,skilled,1,none,NO,1,0,female,GOOD
California,4,1,Good,furniture/equipment,3,1,1,4,female div/dep/mar,none,1,real estate,1,none,own,1,skilled,1,none,YES,9,3,female,BAD
California,2,4,Good,furniture/equipment,7,0,3,2,unknown,none,4,life insurance,1,none,rent,-1,skilled,1,yes,NO,7,1,unknown,GOOD
California,4,4,Bad,business,3,0,4,4,male div/sep,none,4,real estate,2,none,unknown,2,skilled,1,yes,YES,4,2,male,GOOD
California,1,2,Moderate,new car,0,0,4,4,male single,none,-1,car,2,none,rent,2,skilled,2,none,YES,0,0,male,BAD
California,2,1,Good,furniture/equipment,0,0,2,4,female div/dep/mar,none,1,real estate,2,unknown,own,1,skilled,1,yes,YES,2,1,female,BAD
California,4,4,Moderate,furniture/equipment,3,0,0,3,female div/dep/mar,none,-1,life insurance,2,none,own,1,high qualif/self emp/mgmt,1,yes,YES,4,2,female,GOOD
California,5,0,Good,radio/tv,2,0,2,4,male single,guarantor,2,real estate,2,none,own,1,skilled,1,unknown,YES,3,2,male,GOOD
California,1,4,Moderate,education,7,0,1,2,male single,none,-1,life insurance,2,none,own,2,skilled,1,none,YES,1,1,male,GOOD
California,2,6,Good,used car,4,0,0,4,female div/dep/mar,none,1,real estate,3,bank,own,1,unknown,1,yes,YES,5,1,female,BAD
California,0,1,Good,furniture/equipment,6,0,2,2,unknown,none,1,car,2,none,own,1,skilled,1,none,YES,0,0,unknown,GOOD
California,1,0,Bad,radio/tv,0,1,4,4,male single,none,4,no known property,3,none,own,2,skilled,1,unknown,YES,1,0,male,BAD
California,2,1,Good,radio/tv,3,0,3,4,male single,unknown,2,no known property,2,none,unknown,2,high qualif/self emp/mgmt,2,yes,YES,4,1,male,BAD
Colorado,2,4,Bad,other,0,0,4,-1,male single,none,4,real estate,3,none,own,-1,skilled,1,none,YES,1,1,male,GOOD
Colorado,2,6,Moderate,other,9,0,1,1,male div/sep,none,1,car,2,none,own,2,skilled,1,none,NO,9,1,male,GOOD
Connecticut,4,6,Moderate,other,8,0,2,-1,male div/sep,unknown,2,real estate,2,stores,own,2,high qualif/self emp/mgmt,1,yes,YES,7,2,male,GOOD
District of Columbia,1,4,Good,other,3,0,2,4,male single,none,2,life insurance,2,none,unknown,2,unskilled resident,2,none,NO,0,0,male,BAD
Delaware,2,4,Bad,furniture/equipment,7,0,2,4,male single,none,4,real estate,3,none,own,1,skilled,1,yes,YES,7,1,male,BAD
Georgia,6,2,Bad,new car,0,0,4,4,male single,none,4,car,2,bank,own,1,skilled,2,yes,YES,2,2,male,GOOD
Georgia,2,2,Moderate,radio/tv,2,0,2,4,unknown,none,2,life insurance,2,none,own,2,skilled,1,none,YES,3,1,unknown,BAD
Georgia,2,0,Good,other,8,0,4,2,female div/dep/mar,none,-1,no known property,2,bank,for free,1,high qualif/self emp/mgmt,1,yes,NO,8,1,female,GOOD
Georgia,4,2,Bad,new car,1,0,0,2,male single,unknown,3,car,4,none,for free,3,unemp/unskilled non res,1,yes,NO,3,2,male,BAD
Georgia,0,1,Good,radio/tv,0,1,3,4,male mar/wid,none,-1,no known property,1,none,own,1,skilled,1,unknown,YES,0,0,male,GOOD
Georgia,5,2,Moderate,furniture/equipment,7,0,2,1,female div/dep/mar,none,-1,car,2,bank,own,2,skilled,1,yes,YES,7,2,female,BAD
Georgia,2,4,Good,business,8,0,2,2,male single,none,3,no known property,3,none,own,3,unknown,1,yes,YES,7,1,male,BAD
Georgia,4,7,Moderate,business,7,0,3,4,male single,none,4,no known property,2,none,unknown,1,unskilled resident,2,none,YES,7,2,male,GOOD
Georgia,4,5,Good,business,7,0,2,4,male single,none,2,no known property,2,none,own,1,skilled,2,yes,YES,7,2,male,GOOD
Georgia,2,0,Good,radio/tv,4,0,3,2,male mar/wid,none,2,real estate,2,none,unknown,1,skilled,1,none,YES,4,1,male,BAD
