state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,total,proportion,gender,class
Texas,161.2,30.0,Good,furniture/equipment,3832.0,8.69,1,-1,male mar/wid,unknown,1,life insurance,22,none,own,1,unknown,1,unknown,YES,4001.89,0.04432298460735716,male,GOOD
Texas,0.0,24.0,Good,radio/tv,2315.0,0.0,1,1,female div/dep/mar,none,-1,car,44,unknown,own,2,skilled,1,yes,NO,2315.0,0.0,female,GOOD
Texas,0.0,15.0,Good,radio/tv,1213.0,0.0,0,4,male single,none,3,life insurance,47,stores,unknown,1,skilled,1,yes,YES,1213.0,0.0,male,GOOD
Texas,0.0,18.0,Good,business,2315.0,0.0,2,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,NO,2315.0,0.0,female,BAD
Texas,-5878.49,24.0,Good,other,1755.0,98.16,4,-1,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unknown,1,unknown,YES,-4025.33,-3.291759681093394,female,GOOD
Texas,-1789.61,10.0,Good,radio/tv,2315.0,32.77,4,3,male single,unknown,4,real estate,52,none,own,1,unskilled resident,1,none,NO,558.1600000000001,-0.758566493955095,male,GOOD
Texas,0.0,12.0,Bad,business,1412.0,0.0,2,-1,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,unknown,YES,1412.0,0.0,female,GOOD
Texas,85.74,18.0,Bad,other,1295.0,0.0,0,4,female div/dep/mar,none,1,no known property,27,none,own,2,skilled,1,none,YES,1380.74,0.0661574074074074,female,GOOD
Texas,138.23,36.0,Good,education,12612.0,438.24,0,-1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,NO,13188.47,0.045704431935304844,male,GOOD
Texas,0.0,18.0,Good,new car,2249.0,0.0,3,4,male single,none,3,no known property,30,none,own,1,high qualif/self emp/mgmt,2,yes,NO,2249.0,0.0,male,GOOD
Texas,-9244.18,12.0,Moderate,repairs,1108.0,5.74,3,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,NO,-8130.4400000000005,-8.330423805229938,male,GOOD
Texas,0.0,12.0,Bad,radio/tv,618.0,0.0,4,4,male single,none,4,no known property,56,none,own,1,skilled,1,none,NO,618.0,0.0,male,BAD
Texas,-677.41,12.0,Moderate,used car,1409.0,1.66,4,4,male single,none,3,real estate,33,none,own,1,skilled,1,none,NO,733.25,-0.47925531914893615,male,GOOD
Utah,0.0,12.0,Bad,radio/tv,797.0,0.0,4,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,YES,797.0,0.0,female,GOOD
Utah,0.0,24.0,Bad,furniture/equipment,3617.0,0.0,4,4,male single,unknown,4,no known property,20,none,rent,2,skilled,1,none,YES,3617.0,0.0,male,BAD
Virginia,45.54,12.0,Good,new car,1318.0,5987.51,4,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,NO,7351.05,4.5739575435936315,male,BAD
Virginia,163.33,54.0,Moderate,business,2315.0,89.6,1,3,male single,none,4,no known property,58,none,unknown,1,skilled,1,yes,YES,2567.93,0.10920984455958549,male,GOOD
Virginia,0.0,12.0,Bad,education,2012.0,0.0,3,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,NO,2012.0,0.0,female,GOOD
Virginia,4.36,18.0,Good,business,2622.0,167.17,2,4,male single,none,4,car,34,none,own,1,skilled,1,none,YES,2793.53,0.06539458635150591,male,GOOD
Virginia,0.83,36.0,Bad,radio/tv,2315.0,36.75,4,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,NO,2352.58,0.016226252158894644,male,GOOD
Virginia,62.41,20.0,Moderate,used car,7057.0,0.0,3,-1,male single,none,4,life insurance,33,bank,rent,2,high qualif/self emp/mgmt,2,yes,YES,7119.41,0.008842448285633324,male,GOOD
Virginia,0.0,24.0,Good,new car,1469.0,0.0,4,4,male mar/wid,none,-1,real estate,41,none,rent,1,unskilled resident,1,none,YES,1469.0,0.0,male,BAD
Virginia,194.24,36.0,Good,radio/tv,2323.0,0.0,3,4,male single,none,4,car,24,none,rent,1,skilled,1,none,YES,2517.24,0.08358003442340792,male,BAD
Virginia,0.0,6.0,Moderate,radio/tv,932.0,0.0,2,3,female div/dep/mar,none,-1,no known property,24,none,unknown,1,skilled,1,none,YES,932.0,0.0,female,GOOD
Virginia,72.61,9.0,Bad,furniture/equipment,1919.0,0.0,3,4,male single,unknown,3,car,35,none,unknown,1,unknown,1,yes,YES,1991.61,0.03781770833333333,male,GOOD
Virginia,0.0,12.0,Good,used car,2445.0,0.0,1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,NO,2445.0,0.0,male,GOOD
Virginia,150.24,18.0,Bad,other,11938.0,20.15,2,2,male single,co applicant,3,car,39,unknown,own,2,high qualif/self emp/mgmt,2,yes,YES,12108.39,0.0142717145489572,male,BAD
Virginia,0.0,18.0,Good,new car,6458.0,0.0,4,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,1,yes,NO,6458.0,0.0,male,GOOD
Virginia,-757.72,18.0,Good,furniture/equipment,7721.0,0.0,1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,NO,6963.28,-0.09812483812483813,female,GOOD
Virginia,55.89,18.0,Good,business,1410.0,549.75,4,1,male mar/wid,unknown,2,real estate,35,none,own,1,skilled,1,yes,YES,2015.6399999999999,0.42922749822820694,male,GOOD
Virginia,80.35,6.0,Moderate,other,1449.0,265.76,4,1,unknown,none,2,car,31,bank,own,2,skilled,1,none,NO,1795.1100000000001,0.23869655172413795,unknown,GOOD
Virginia,0.0,18.0,Good,education,392.0,0.0,1,-1,female div/dep/mar,none,-1,life insurance,23,none,unknown,1,skilled,1,yes,YES,392.0,0.0,female,GOOD
Virginia,80.71,18.0,Good,new car,6260.0,68.22,3,-1,male single,none,3,no known property,28,none,rent,1,unskilled resident,1,none,NO,6408.93,0.02378693499440984,male,BAD
Virginia,0.0,36.0,Bad,new car,7855.0,0.0,2,4,female div/dep/mar,none,2,real estate,25,stores,own,-1,skilled,1,yes,YES,7855.0,0.0,female,GOOD
Virginia,0.0,12.0,Good,radio/tv,2315.0,0.0,4,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,NO,2315.0,0.0,male,BAD
Virginia,0.0,48.0,Moderate,radio/tv,2315.0,0.0,4,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,NO,2315.0,0.0,male,GOOD
Vermont,-7890.14,18.0,Good,radio/tv,7174.0,0.0,3,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,NO,-716.1400000000003,-1.0996710801393728,female,GOOD
Vermont,-308.12,10.0,Bad,furniture/equipment,2132.0,0.0,0,2,female div/dep/mar,co applicant,3,real estate,33,none,rent,2,skilled,1,unknown,NO,1823.88,-0.1444538209095171,female,GOOD
Washington,-6207.62,33.0,Bad,furniture/equipment,4281.0,777.08,0,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,unknown,NO,-1149.54,-1.268225128444652,female,GOOD
Washington,180.83,12.0,Moderate,new car,2366.0,804.96,3,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,YES,3351.79,0.4164723278411492,male,GOOD
Washington,-4317.01,21.0,Good,radio/tv,1835.0,6.23,2,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,YES,-2475.7800000000007,-2.347919389978214,female,GOOD
Washington,0.0,24.0,Bad,used car,2315.0,0.0,0,4,unknown,none,-1,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,NO,2315.0,0.0,unknown,GOOD
Washington,0.0,18.0,Moderate,furniture/equipment,1768.0,0.0,2,-1,male single,none,2,real estate,24,none,rent,-1,unskilled resident,1,none,YES,1768.0,0.0,male,BAD
Washington,4115.41,10.0,Bad,new car,781.0,68.49,0,-1,male single,unknown,4,no known property,63,none,for free,2,skilled,1,yes,YES,4964.9,5.350255754475703,male,GOOD
Washington,69.75,18.0,Good,furniture/equipment,1924.0,0.0,0,4,female div/dep/mar,none,3,real estate,33,unknown,rent,1,unknown,1,none,NO,1993.75,0.036233766233766236,female,GOOD
Washington,-8633.29,12.0,Bad,new car,2121.0,28.28,2,4,male single,unknown,2,life insurance,30,none,own,2,skilled,1,none,YES,-6484.01,-4.0551413760603205,male,BAD
Washington,-7111.18,12.0,Moderate,radio/tv,2315.0,1.11,2,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,YES,-4795.070000000001,-3.069978411053541,male,GOOD
Washington,150.56,12.0,Good,repairs,2315.0,33.47,2,-1,male single,none,2,car,30,none,own,1,skilled,1,none,NO,2499.03,0.07946027633851468,male,BAD
Washington,163.65,12.0,Bad,used car,1860.0,21.86,0,4,male single,unknown,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,YES,2045.51,0.09968296614723267,male,BAD
Washington,-9688.11,12.0,Bad,new car,2315.0,0.0,2,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,unknown,1,none,YES,-7373.110000000001,-4.183121761658032,female,GOOD
Washington,161.19,48.0,Good,new car,8487.0,0.0,3,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,NO,8648.19,0.01899033930254477,female,BAD
Washington,-4083.0,36.0,Moderate,education,6887.0,11.36,2,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,YES,2815.36,-0.5911207897793264,male,BAD
Washington,0.0,15.0,Good,furniture/equipment,2315.0,0.0,1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,NO,2315.0,0.0,male,GOOD
Washington,0.0,18.0,Good,furniture/equipment,1984.0,0.0,2,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,YES,1984.0,0.0,male,BAD
Washington,0.0,18.0,Good,radio/tv,2315.0,0.0,3,2,female div/dep/mar,none,-1,real estate,21,none,own,1,skilled,1,unknown,YES,2315.0,0.0,female,BAD
Wisconsin,0.0,12.0,Bad,other,1240.0,0.0,4,4,female div/dep/mar,none,2,no known property,38,none,own,2,skilled,1,yes,YES,1240.0,0.0,female,BAD
Wisconsin,0.0,27.0,Moderate,used car,8613.0,0.0,2,2,male single,none,2,car,27,none,own,2,skilled,1,none,NO,8613.0,0.0,male,BAD
Wisconsin,0.0,18.0,Moderate,radio/tv,766.0,0.0,2,4,male single,unknown,3,real estate,33,none,own,1,unskilled resident,1,none,NO,766.0,0.0,male,GOOD
Wisconsin,51.64,15.0,Bad,radio/tv,2728.0,0.0,3,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,YES,2779.64,0.018922682301209234,male,GOOD
Wisconsin,0.0,12.0,Good,radio/tv,1881.0,0.0,0,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,NO,1881.0,0.0,female,BAD
Wisconsin,8525.7,6.0,Good,new car,709.0,7265.64,1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,YES,16500.34,22.24132394366197,male,GOOD
West Virginia,3.49,36.0,Good,radio/tv,2315.0,57.17,1,4,female div/dep/mar,none,1,no known property,33,none,own,1,high qualif/self emp/mgmt,1,yes,NO,2375.66,0.026191709844559586,female,BAD
West Virginia,-4570.85,18.0,Good,other,3416.0,15.64,2,-1,male single,unknown,2,car,27,none,own,1,high qualif/self emp/mgmt,1,unknown,YES,-1139.21,-1.3331021363769389,male,BAD
West Virginia,-6400.81,18.0,Good,furniture/equipment,2462.0,74.69,2,2,male single,none,2,no known property,33,none,own,1,unknown,1,none,NO,-3864.120000000001,-2.5684612261469755,male,GOOD
West Virginia,0.0,21.0,Bad,furniture/equipment,2288.0,0.0,1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,NO,2288.0,0.0,female,GOOD
West Virginia,46.06,48.0,Good,other,3566.0,240.61,3,-1,male single,none,2,car,30,none,unknown,1,skilled,1,none,YES,3852.67,0.0803672553966919,male,BAD
Wyoming,-9858.79,6.0,Bad,new car,860.0,6.1,4,1,female div/dep/mar,unknown,4,no known property,39,none,own,2,unknown,1,yes,YES,-8992.69,-11.443310104529617,female,GOOD
Alaska,0.0,12.0,Bad,new car,682.0,0.0,3,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,NO,682.0,0.0,female,GOOD
Arkansas,0.0,36.0,Bad,furniture/equipment,5371.0,0.0,2,3,male single,unknown,2,life insurance,28,none,own,2,skilled,1,unknown,NO,5371.0,0.0,male,GOOD
Arizona,0.0,18.0,Moderate,radio/tv,1582.0,0.0,4,4,unknown,none,4,car,46,none,own,-1,skilled,1,unknown,YES,1582.0,0.0,unknown,BAD
Arizona,0.0,6.0,Good,other,1346.0,0.0,4,2,male single,unknown,4,no known property,42,bank,unknown,1,skilled,2,yes,NO,1346.0,0.0,male,GOOD
Arizona,0.0,18.0,Good,radio/tv,1924.0,0.0,2,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,NO,1924.0,0.0,male,BAD
California,0.0,36.0,Good,radio/tv,5848.0,0.0,2,4,male single,none,1,car,24,none,own,1,skilled,1,unknown,NO,5848.0,0.0,male,BAD
California,139.47,24.0,Bad,used car,7758.0,7369.04,4,2,female div/dep/mar,unknown,4,no known property,29,none,rent,1,skilled,1,none,YES,15266.51,0.9677162005413069,female,BAD
California,190.98,24.0,Moderate,business,6967.0,438.53,3,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,unknown,YES,7596.51,0.09034299655568312,male,BAD
